[2025-12-23 08:19:10] ? BookingExpirationService started
[2025-12-23 08:22:17] Actor 38: Found 2 movies
[2025-12-23 08:24:58] ✅ Deleted room 1008 with 100 seats
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721012112_0_454_0 -> qr_QR639020767721012112_0_454_0.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_455_1 -> qr_QR639020767721042107_0_455_1.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_456_2 -> qr_QR639020767721042107_0_456_2.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_457_3 -> qr_QR639020767721042107_0_457_3.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_458_4 -> qr_QR639020767721042107_0_458_4.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_459_5 -> qr_QR639020767721042107_0_459_5.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_460_6 -> qr_QR639020767721042107_0_460_6.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_461_7 -> qr_QR639020767721042107_0_461_7.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_462_8 -> qr_QR639020767721042107_0_462_8.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_463_9 -> qr_QR639020767721042107_0_463_9.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_466_10 -> qr_QR639020767721042107_0_466_10.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_467_11 -> qr_QR639020767721042107_0_467_11.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_468_12 -> qr_QR639020767721042107_0_468_12.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_469_13 -> qr_QR639020767721042107_0_469_13.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_470_14 -> qr_QR639020767721042107_0_470_14.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_471_15 -> qr_QR639020767721042107_0_471_15.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_474_16 -> qr_QR639020767721042107_0_474_16.png
[2025-12-23 08:52:52] ✅ Sinh QR code: QR639020767721042107_0_476_17 -> qr_QR639020767721042107_0_476_17.png
